text,user,location,date
RT @hussmanjp: So this is fun. The share of household financial assets invested in stocks ended 2021 at the highest extreme in history (and…,Talkot,San Francisco,2022-03-30 21:36:00+00:00
"S&amp;amp;P 500, Nasdaq 100 Slip on Inflation Jitters as Geopolitical Risk Boosts Oil Prices https://t.co/q68ig08l0T  |… https://t.co/igDo8ZyxLi",center_forex,Forex trading signal provider,2022-03-30 21:32:07+00:00
"RT @DrivingTheDay: Mar 30 #DJIA -0.19%, S&amp;P 500 -0.63%, #Nasdaq Composite -1.21% https://t.co/vHr4MsvSaA #stocks #investors #StockMarket #i…",UnderMyPalm,"Florida, USA",2022-03-30 21:32:07+00:00
"RT @DrivingTheDay: Mar 30 #DJIA -0.19%, S&amp;P 500 -0.63%, #Nasdaq Composite -1.21% https://t.co/vHr4MsvSaA #stocks #investors #StockMarket #i…",DomainMondo,Online,2022-03-30 21:30:50+00:00
RT @hussmanjp: So this is fun. The share of household financial assets invested in stocks ended 2021 at the highest extreme in history (and…,Riverbear18,,2022-03-30 21:30:38+00:00
RT @hussmanjp: So this is fun. The share of household financial assets invested in stocks ended 2021 at the highest extreme in history (and…,TurkandH,,2022-03-30 21:27:29+00:00
"RT @DrivingTheDay: Mar 30 #DJIA -0.19%, S&amp;P 500 -0.63%, #Nasdaq Composite -1.21% https://t.co/vHr4MsvSaA #stocks #investors #StockMarket #i…",DrivingTheDay,,2022-03-30 21:26:51+00:00
The share of household financial assets invested in #stocks ended 2021 at the highest extreme in history (and our m… https://t.co/Li4Z8fpZD9,HostmakerAu,KOI-456.04 orbiting Kepler-160,2022-03-30 21:26:23+00:00
"The # of stocks up/down across the big 6 indexes?
S&amp;P 500- Up: 181 Down: 319
NASDAQ- Up: 935 Down: 2,362
NASDAQ 100… https://t.co/COT0NRzVQG",JJSpeculation,"Napa, CA",2022-03-30 21:26:04+00:00
"Gap up/gap down/net 
S&amp;P 500-
Up: 15
Down: 2
Net:⬆️13
NASDAQ-
Up: 18
Down: 21
Net:⏬3
NASDAQ 100-
Up: 1
Down: 0
Net:… https://t.co/XwVIdg73cN",JJSpeculation,"Napa, CA",2022-03-30 21:26:04+00:00
"Mar 30 #DJIA -0.19%, S&amp;P 500 -0.63%, #Nasdaq Composite -1.21% https://t.co/vHr4MsvSaA #stocks #investors… https://t.co/asw2QA1Ccn",DrivingTheDay,,2022-03-30 21:25:26+00:00
"RT @LizYoungStrat: Since 1977, there have been eight yield curve inversions. The S&amp;P 500's average return in the following year was +11.5%,…",thelongbow47,,2022-03-30 21:24:45+00:00
RT @hussmanjp: So this is fun. The share of household financial assets invested in stocks ended 2021 at the highest extreme in history (and…,ProfesorXBT,Bitcorn Fields 🌽,2022-03-30 21:22:23+00:00
"RT @MarketWatch: All three major U.S. stock benchmarks closed lower Wednesday, with the Dow and S&amp;P 500 snapping four-day winning streaks,…",gon20207,東京 新宿区,2022-03-30 21:21:24+00:00
RT @CNBC: U.S. stocks slid on Wednesday after rallying in the previous session as investors monitored developments in Ukraine and the bond…,gon20207,東京 新宿区,2022-03-30 21:21:17+00:00
RT @hussmanjp: So this is fun. The share of household financial assets invested in stocks ended 2021 at the highest extreme in history (and…,JA_Maartun,Nederland,2022-03-30 21:20:34+00:00
RT @hussmanjp: So this is fun. The share of household financial assets invested in stocks ended 2021 at the highest extreme in history (and…,TokyoBayRollers,イギリス,2022-03-30 21:17:25+00:00
RT @CNBC: U.S. stocks slid on Wednesday after rallying in the previous session as investors monitored developments in Ukraine and the bond…,Rhododendron924,,2022-03-30 21:16:23+00:00
