UNDERLYING_LAST,EXPIRE_DATE,DTE,C_DELTA,C_GAMMA,C_VEGA,C_THETA,C_RHO,C_IV,C_VOLUME,C_LAST,STRIKE,STRIKE_DISTANCE_PCT,STRIKE DISTANCE
476.94,1/7/2022,3.19,0.16672,0.04637,0.12437,-0.16429,0.00835,0.10877,4330.0,0.46,482.0,0.011,5.06
476.94,1/7/2022,3.19,0.22095,0.05416,0.14692,-0.20248,0.01135,0.11148,6637.0,0.63,481.0,0.009,4.06
476.94,1/7/2022,3.19,0.12107,0.03792,0.09971,-0.12623,0.00623,0.10742,2632.0,0.3,483.0,0.013,6.06
476.94,1/7/2022,3.19,0.05966,0.02269,0.05994,-0.06911,0.00343,0.10605,2910.0,0.13,485.0,0.017,8.06
476.94,1/7/2022,3.19,0.08577,0.0297,0.07798,-0.09379,0.00441,0.10636,2208.0,0.21,484.0,0.015,7.06
465.29,1/7/2022,0.21,0.00362,0.00256,0.0026,-0.00483,0.00012,0.18366,1099.0,0.01,477.0,0.025,11.71
465.29,1/7/2022,0.21,0.00452,0.00301,0.00252,-0.00457,-0.00033,0.1703,1554.0,0.01,476.0,0.023,10.71
476.94,1/7/2022,3.19,0.41823,0.06668,0.19318,-0.29258,0.02015,0.11925,4041.0,1.75,478.0,0.002,1.06
476.94,1/7/2022,3.19,0.28288,0.06034,0.16777,-0.24022,0.01374,0.11377,14826.0,0.98,480.0,0.006,3.06
476.94,1/7/2022,3.19,0.34951,0.06471,0.18254,-0.26981,0.01702,0.11601,6072.0,1.23,479.0,0.004,2.06
468.75,1/7/2022,1.21,0.62495,0.06741,0.12961,-0.63726,0.01565,0.1648,6211.0,3.23,467.0,0.004,-1.75
468.75,1/7/2022,1.21,0.55698,0.07211,0.13472,-0.65708,0.01345,0.16008,6278.0,2.56,468.0,0.002,-0.75
468.75,1/7/2022,1.21,0.68533,0.0613,0.12153,-0.59831,0.01644,0.16941,2479.0,3.98,466.0,0.006,-2.75
467.66,1/7/2022,0.17,0.72949,0.12548,0.07672,-0.40789,0.00746,0.11638,18628.0,2.12,466.0,0.004,-1.66
467.66,1/7/2022,0.17,0.82044,0.09285,0.06077,-0.24784,0.00791,0.12548,10227.0,3.01,465.0,0.006,-2.66
468.75,1/7/2022,1.21,0.26308,0.06447,0.11196,-0.46154,0.00645,0.14826,8134.0,0.8,472.0,0.007,3.25
